latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
33.27063,71.59,303.88,0.44,0.46,2026-01-01,2129,N20,VIIRS,n,2.0NRT,279.88,0.73,N
33.54835,71.55003,301.22,0.43,0.46,2026-01-01,2129,N20,VIIRS,n,2.0NRT,281.51,0.97,N
33.40751,71.93681,299.16,0.45,0.47,2026-01-01,2129,N20,VIIRS,n,2.0NRT,277.83,0.9,N
32.88913,71.61602,300.35,0.45,0.47,2026-01-01,2129,N20,VIIRS,n,2.0NRT,282.32,1.04,N
32.57587,72.56364,300.12,0.51,0.49,2026-01-01,2129,N20,VIIRS,n,2.0NRT,283.51,1.28,N
32.10728,74.17664,306.4,0.32,0.55,2026-01-01,2129,N20,VIIRS,n,2.0NRT,280.57,1.31,N
32.10648,74.17995,311.19,0.32,0.55,2026-01-01,2129,N20,VIIRS,n,2.0NRT,280.93,1.32,N
32.38165,72.13846,295.58,0.49,0.48,2026-01-01,2129,N20,VIIRS,n,2.0NRT,281.63,0.93,N
32.29388,70.72955,304.95,0.41,0.45,2026-01-01,2129,N20,VIIRS,n,2.0NRT,282.87,1.4,N
32.29211,70.73785,306.79,0.41,0.45,2026-01-01,2129,N20,VIIRS,n,2.0NRT,283.65,1.49,N
32.29444,70.73141,306.67,0.41,0.45,2026-01-01,2129,N20,VIIRS,n,2.0NRT,282.89,1.51,N
32.28868,70.73854,298.63,0.41,0.45,2026-01-01,2129,N20,VIIRS,n,2.0NRT,282.44,1.18,N
26.09515,68.87794,307.34,0.42,0.46,2026-01-01,2131,N20,VIIRS,n,2.0NRT,283.77,0.92,N
24.99062,66.93176,301.23,0.52,0.42,2026-01-01,2131,N20,VIIRS,n,2.0NRT,283.67,0.76,N
24.98776,66.94694,295.69,0.52,0.42,2026-01-01,2131,N20,VIIRS,n,2.0NRT,285.65,0.79,N
28.42594,69.70181,300.56,0.43,0.46,2026-01-01,2131,N20,VIIRS,n,2.0NRT,282.43,0.74,N
25.38726,68.58038,308.14,0.42,0.45,2026-01-01,2131,N20,VIIRS,n,2.0NRT,283.77,0.69,N
25.054,67.49594,300.7,0.56,0.43,2026-01-01,2131,N20,VIIRS,n,2.0NRT,285.87,0.93,N
25.05118,67.48965,297.84,0.56,0.43,2026-01-01,2131,N20,VIIRS,n,2.0NRT,285.14,1.02,N
25.05013,67.49503,302.53,0.56,0.43,2026-01-01,2131,N20,VIIRS,n,2.0NRT,286.13,1.14,N
25.14015,66.90627,298.38,0.52,0.41,2026-01-01,2131,N20,VIIRS,n,2.0NRT,286.95,1.23,N
25.15931,66.78592,305.13,0.51,0.41,2026-01-01,2131,N20,VIIRS,n,2.0NRT,287.8,0.71,N
25.13958,66.90943,299.16,0.52,0.41,2026-01-01,2131,N20,VIIRS,n,2.0NRT,287.22,1.24,N
25.15898,66.7838,304.73,0.51,0.41,2026-01-01,2131,N20,VIIRS,n,2.0NRT,288.62,1.41,N
32.49969,73.45966,327.47,0.68,0.74,2026-01-02,0707,N20,VIIRS,n,2.0NRT,287.69,5.11,D
32.49617,73.46073,328.04,0.68,0.74,2026-01-02,0707,N20,VIIRS,n,2.0NRT,287.69,4.02,D
25.58951,68.69762,335.67,0.45,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,295.47,3.93,D
25.60134,68.54248,337.48,0.44,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,297,10.46,D
25.65131,68.88962,333.49,0.46,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,298.06,4.79,D
25.60142,68.54272,343.3,0.44,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,296.97,10.93,D
25.65329,68.88983,337.7,0.46,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,297.35,6.08,D
25.77095,68.59827,334.01,0.45,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,294.01,3.36,D
26.36804,68.86658,330.26,0.46,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,295.63,4.18,D
26.41856,68.095,330.33,0.43,0.38,2026-01-02,0845,N20,VIIRS,n,2.0NRT,294.13,3.65,D
26.78996,68.20709,334.86,0.44,0.38,2026-01-02,0845,N20,VIIRS,n,2.0NRT,294.68,5.32,D
26.92144,68.38717,330.58,0.45,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,293.76,2.65,D
27.37914,68.52917,329.88,0.46,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,293.98,2.87,D
28.52207,70.31298,338.25,0.39,0.44,2026-01-02,0845,N20,VIIRS,n,2.0NRT,291.94,3.3,D
28.48122,69.98086,328.07,0.55,0.43,2026-01-02,0845,N20,VIIRS,n,2.0NRT,292.13,2.4,D
28.51807,70.31355,338.11,0.39,0.44,2026-01-02,0845,N20,VIIRS,n,2.0NRT,292.39,4.8,D
28.48147,69.98248,329.43,0.55,0.43,2026-01-02,0845,N20,VIIRS,n,2.0NRT,293.48,3.28,D
25.17404,68.63685,336.36,0.44,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,296.35,4.89,D
25.0521,67.49539,330.41,0.41,0.37,2026-01-02,0845,N20,VIIRS,l,2.0NRT,303.05,2.97,D
25.34576,68.81969,343.2,0.45,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,297.63,9.42,D
25.38263,68.74117,330.98,0.45,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,295.33,2.2,D
